                a        b        c        d        e        g        h        i        k        l        m        n        o        p        q        r        s        t        u        v        x        y        à        á        â        ã        è        é        ê        ì        í        ò        ó        ô        õ        ù        ú        ý        ă        đ        ĩ        ũ        ơ        ư        ạ        ả        ấ        ầ        ẩ        ẫ        ậ        ắ        ằ        ẳ        ẵ        ặ        ẹ        ẻ        ẽ        ế        ề        ể        ễ        ệ        ỉ        ị        ọ        ỏ        ố        ồ        ổ        ỗ        ộ        ớ        ờ        ở        ỡ        ợ        ụ        ủ        ứ        ừ        ử        ữ        ự        ỳ        ỵ        ỷ        ỹ
        q        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0   11.883        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        r    5.570      103      217      346    1.098    1.266      128    2.850       70    1.043      172      159    6.060      188        4      108      477      345    1.696       41       21      188      346      615       29       65        9       21    1.168      466      222      187       28      129      434       80      302        0       76        3       10        5       81    2.719      459      600      460       67       10        9      453      111    2.059        0        0        1        1      207       40        0        1       13       23       13        5      592      507        1      201      736        1       37      271       11      175      689        3      205      189       48       13      287        9       17       98        0        0        0        0
        s    3.092      100    1.542       81      956       71      205      559      189      200       86       19      973      151        1        9      989    1.398      594       24        0        5      192    1.460      178        0        0       49        0        1        0        1      130      243        0        8      137        0        9        2      965        0      128      498       74      318       19        6        1        1        7      256        0        0      240        1        4       30    2.670        4        0        0        0        0        9        0        8        0    1.451        2       49        0        3       93        9      158        0      134      124        6      694        0      492        9    2.151        0        0        0        0
        t    2.570        3       13      319      895      150   29.743    5.590       27    4.779       18       25    1.772       23        1   19.577      316      256    2.169       59        0       61    1.267      982    1.021        0        0        3      293      917      752        2       63    2.290        0      385      124        0      193        2       32        0        5    3.758    1.222      225    1.135      154        7        0      608      150        0        0        0       17        0        5        0      426        5        3        0      120      116      184        0      386    1.064      117    1.044        0      665      113      139       31        0        2      934        6      347    1.941      299        0      862        0        3       20        0
        u    2.597      103      244      321      368      132       51      308       78      345      150    2.283       20      230        1    1.044      990      148        2        4       23    6.658       11      504    3.977       10        3       22      107        0        0        0        0      355        0        0        0      148        0        1        0        0        2        0        3      386      527      391      243       90    1.039        1        0        0        0       28        0        0        0       57        8        0        0       16        0        0        0        0    4.455      295      676        4    1.955        0        0       12        0        0        0        0        0        0        0        0        0      120      134      394       13
        v      774        0        3        0      638        0       17    4.350        1        9        0        4      692        0        0       11       27        1      245    1.371        0        8   12.362       37       74       91        0       14        1    1.658       45      214        8      341        4      471        0        0      518        0      102      297        9      279       61        7      401        6        8      946      573       35        0        0        0        9       30      227       27       35    2.489        0        0      202        0      920      310        5      216        0        0        7       98    4.041       24       23       75       90      980        0        3      137        0       82      115        0        0        0        0
        x      204        2        2        0      663        0        0      245        0       24        3        0      230        4        0        0        0        1    1.013       19       20        2        3      257      232    1.387        1      363        1        1       67        0       10      857        0        1       99        0       35        0        6        0        3      140        3      234       52        0        0        0        0        1        0        0        0        0        0        4        0      104        0        0        0        2        8        1        0        2        3        0        1        0       10        0        0        3        0        0        1        0       68        0      361        0        0        0        0        0        0
        y       78       11        3       75       17        7        1       11       18       11        7       18       46       10        1       44       85        7        0        3        0        2        0        0        0        0        0        0    1.571        0        0        0        0        0        0        0        0        1        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0    1.698    1.365      411        1      499        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        à        0        2        5        1        0        1        4    2.429        3        2    1.860    7.180    3.842        2        0        2        1        9      552        2        1    6.267        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        á        0        0    6.611        0        0        0        1    1.595        2        0      437    6.091    2.453    2.149        0        1        0    1.605      234        0        0      463        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
